ev_id,ntsb_no,latitude,longitude,flt_plan_filed,flight_plan_activated,regis_no,dprt_apt_id,dest_apt_id
20001205X00119,ANC99IA027,644800N,1475158W,IFR ,Y,N934AS,FAI ,ANC 
20001211X11043,FTW98FA380,293626N,0950931W,IFR ,Y,N316UP,SDF ,EFD 
20001211X11573,LAX99FA051,335655N,1182449W,NONE,N,N554CL,SAN ,LAX 
20001212X18855,NYC99FAMS3,415432N,0704343W,NONE,N,N8235Z,OWD ,
20001212X19017,LAX99FA218,335619N,1182432W,IFR ,Y,F-GTOM,FPO ,LAX 
20001212X19310,LAX99MA251,385854N,1194022W,NONE,N,N807BB,MEV ,
20001212X19975,LAX00FA017,341740N,1192008W,NONE,N,N5169B,SBA ,SNA 
20001212X20136,MIA00FA030,324704N,0885534W,NONE,N,N8144M,TCL ,JAN 
20001212X20258,LAX00FA061,332459N,1182755W,CVFR,N,N3593S,,
20001212X20356,FTW00FA070,293313N,0982859W,IFR ,N,N386TM,SAT ,TUS 
20001212X20387,LAX00LA071,331600N,1114800W,NONE,N,N89678,P19 ,
20001212X20391,LAX00LA076,320000N,1150000W,NONE,N,N436SD,,
20001212X20505,LAX00FA101,335000N,1163100W,NONE,N,N6479D,PSP ,UDD 
20001212X20507,LAX00IA106,363430N,1190530W,IFR ,Y,N566SW,LAX ,FAT 
20001212X20521,LAX00LA105,404900N,1154730W,NONE,N,N4011Y,EKO ,
20001212X20536,MIA00LA091,334657N,0834134W,IFR ,N,N101ET,D73 ,AIK 
20001212X20573,ANC00IA034,644800N,1475158W,IFR ,Y,N949AS,FAI ,ANC 
20001212X20624,FTW00FA101,310509N,0974111W,IFR ,Y,N353SB,DFW ,ILE 
20001212X20657,LAX00FA123,392200N,1211500W,NONE,,N8351F,RNO ,MYV 
20001212X20658,LAX00FA126,332115N,1171503W,NONE,N,N95996,L18 ,SJC 
20001212X20659,LAX00FA130,372911N,1202102W,CVFR,N,N415B,FAT ,SMF 
20001212X20660,LAX00FA134,340705N,1172301W,NONE,N,N8328Q,EMT ,L67 
20001212X20664,LAX00IA127,373713N,1222248W,IFR ,Y,N516DA,SFO ,SLC 
20001212X20667,LAX00LA116,353700N,1192100W,NONE,N,N1354X,MIT ,
20001212X20669,LAX00LA118,330748N,1153118W,NONE,N,N39FA,CLR ,CLR 
20001212X20689,MIA00FA118,301340N,0854311W,NONE,N,N9204P,04A ,PFN 
20001212X20830,IAD00LA031,404914N,0765150W,NONE,N,N1923L,SEG ,
20001212X20834,LAX00FA151,335200N,1175800W,NONE,N,N6791P,FUL ,VNY 
20001212X20836,LAX00FA160,335749N,1120833W,CVFR,N,N2267N,GCN ,
20001212X20843,LAX00GA158,394002N,1195234W,IFR ,N,N7046U,4SD ,
20001212X20849,LAX00LA149,364634N,1194309W,NONE,N,N2500T,FAT ,
20001212X20856,LAX00LA157,420000N,1223000W,IFR ,Y,N1682U,SBA ,RDM 
20001212X20873,MIA00FA129,012900N,0753200W,IFR ,Y,N86BE,OPF ,MAI 
20001212X20880,MIA00LA133,275920N,0820107W,NONE,N,N905AS,LAL ,
20001212X21025,LAX00FA191,210738N,1570859W,IFR ,Y,N241H,OGG ,MKK 
20001212X21030,LAX00GA185,354000N,1174000W,MVFR,N,N32229,NID ,NID 
20001212X21033,LAX00LA183,353904N,1120852W,NONE,N,N1726X,DVT ,40G 
20001212X21036,LAX00LA188,332739N,1114342W,NONE,N,N7648Q,POC ,FFZ 
20001212X21039,LAX00LA193,410000N,1240000W,CVFR,N,N693CC,,
20001212X21043,LAX00LA197,341555N,1100020W,NONE,N,N5477D,FFZ ,SOW 
20001212X21052,LAX00LA211,334904N,1180906W,NONE,N,N6349W,FUL ,LGB 
20001212X21065,MIA00LA150,303140N,0894225W,NONE,N,N5107G,NEW ,
20001212X21067,MIA00LA152,303634N,0812738W,NONE,N,N760WB,N55J,
20001212X21068,MIA00LA153,354358N,0785059W,NONE,N,N45DR,NA  ,
20001212X21252,LAX00FA213,343600N,1121500W,IFR ,Y,N414PS,VNY ,LVS 
20001212X21253,LAX00FA229,215834N,1592020W,IFR ,Y,N649HA,HNL ,LIH 
20001212X21255,LAX00FA231,371353N,1213957W,NONE,N,N8659V,RHV ,RHV 
20001212X21257,LAX00LA215,391132N,1194404W,NONE,N,N201CE,CXP ,
20001212X21262,LAX00LA220,383646N,1192332W,NONE,N,N500XL,MEV ,HII 
20001212X21263,LAX00LA222,350237N,1161136W,NONE,N,N31M,GJT ,L35 
20001212X21278,LAX00LA242,340600N,1171400W,NONE,N,N819AC,SBD ,SBD 
20001212X21348,ANC00FA082,604800N,1481500W,VFR ,N,N862SP,MRI ,MDO 
20001212X21351,ANC00IA088,611046N,1495900W,IFR ,Y,N935AS,SEA ,ANC 
20001212X21427,DEN00FA127,391424N,1064242W,VFR ,N,N4377V,ASE ,FTG 
20001212X21429,DEN00FA141,410042N,1050632W,NONE,N,N252KD,1V5 ,
20001212X21493,LAX00FA283,415856N,1143949W,NONE,N,N5853Q,06U ,JER 
20001212X21498,LAX00LA251,320657N,1105627W,NONE,N,N2196T,TUC ,
20001212X21503,LAX00LA257,365500N,1215000W,NONE,N,N4426X,KWVI,
20001212X21522,LAX00LA282,403000N,1223000W,NONE,N,N540EX,CRQ ,
20001212X21525,LAX00MA273,205218N,1563454W,CVFR,Y,N510TG,OGG ,OGG 
20001212X21532,MIA00FA221,344452N,0900452W,IFR ,N,N158MT,KMEM,KHOU
20001212X21533,MIA00FA229,355059N,0784504W,VFR ,Y,N201RH,OC2 ,LHZ 
20001212X21534,MIA00LA196,322038N,0865916W,NONE,N,N26937,SEM ,MVC 
20001212X21535,MIA00LA197,330843N,0903055W,NONE,N,N53208,1M2 ,
20001212X21721,FTW00FA245,300000N,0992301W,NONE,N,N421NT,PEQ ,SAT 
20001212X21740,IAD00FA079,402413N,0761330W,NONE,N,N9436V,9D4 ,8PA1
20001212X21741,IAD00LA070,393019N,0840719W,NONE,N,N37SK,NONE,
20001212X21747,IAD00FA076,431200N,0701400W,IFR ,Y,N411JL,PSM ,CYAU
20001212X21751,LAX00FA300,344733N,1162909W,NONE,N,N878R,A09 ,TOA 
20001212X21753,LAX00FA306,365344N,1214739W,NONE,N,N8313Z,WVI ,WVI 
20001212X21754,LAX00FA310,194300N,1550200W,VFR ,N,N923BA,KOA ,
20001212X21758,LAX00FA324,333834N,1114903W,NONE,N,N4905V,U96 ,P19 
20001212X21760,LAX00GA297,393400N,1174856W,CVFR,N,N174EH,,
20001212X21763,LAX00LA285,374955N,1212411W,NONE,N,N6737K,,
20001212X21764,LAX00LA287,382040N,1214838W,NONE,N,N300RE,8Q0 ,2Q3 
20001212X21765,LAX00LA288,375340N,1211419W,NONE,N,N39KH,FAT ,SCK 
20001212X21865,SEA00LA159,451100N,1230800W,NONE,N,N450UR,SLE ,MMV 
20001212X21881,ANC00FA128,610225N,1571023W,NONE,N,N42472,,ANI 
20001212X21902,ANC00MA125,701220N,1510109W,VFR ,Y,N220CS,PASC,PAQT
20001212X21995,IAD00LA085,380700N,0834500W,NONE,N,N94326,HEF ,IOB 
20001212X21997,LAX00FA322,385338N,1195943W,IFR ,N,N88AM,TVL ,SDM 
20001212X22020,LAX00LA348,381518N,1205600W,NONE,N,N37820,PVT ,
20001212X22027,LAX00TA355,334130N,1120456W,NONE,N,N331SD,DVT ,DVT 
20001212X22029,MIA00FA260,281312N,0823724W,NONE,N,N3WT,3FD1,
20001212X22031,MIA00GA264,352617N,0830338W,NONE,N,N525BM,1A5 ,
20001212X22048,NYC00FA248,412615N,0713231W,IFR ,Y,N8230G,CQX ,PNE 
20001212X22101,ANC01FA011,604600N,1615028W,IFR ,Y,N575D,ANC ,BET 
20001212X22135,CHI01MA006,373900N,0972559W,VFR ,N,CFTBZ,ICT ,ICT 
20001212X22150,FTW01FA013,352246N,0973546W,IFR ,Y,N9485T,OKC ,E42 
20001212X22153,FTW01FA017,284417N,0923748W,CVFR,N,N26WW,,
20001212X22166,IAD01LA002,400400N,0750000W,NONE,N,N9394L,PNE ,
20001212X22168,IAD01LA004,391407N,0780042W,NONE,N,N21CY,OKV ,61VA
20001212X22169,IAD01LA007,404446N,0771725W,NONE,N,N279W,1N9 ,UNV 
20001212X22175,LAX01FA001,364942N,1213435W,NONE,N,N36TV,MMH ,WVI 
20001212X22176,LAX01FA003,383047N,1225144W,IFR ,Y,N2373D,STS ,CCR 
20001212X22177,LAX01FA004,340857N,1174700W,IFR ,Y,N222ES,CNO ,POC 
20001212X22180,LAX01FA011,355800N,1150700W,NONE,N,N2434T,L15 ,L45 
20001212X22181,LAX01FA014,363646N,1215216W,NONE,N,N1344G,MRY ,SAC 
20001212X22183,LAX01FA023,352636N,1152748W,VFR ,N,N40VF,67L ,L18 
20001212X22195,LAX01LA019,375923N,1220325W,NONE,N,N398DE,CCR ,SJC 
20001212X22197,LAX01LA021,373050N,1223004W,NONE,N,N5226K,HAF ,HAF 
20001212X22202,LAX01LA029,344738N,1185108W,NONE,N,N16503,WJF ,VUO 
20001212X22207,MIA01FA021,272735N,0814846W,NONE,N,N8603E,BOW ,FD06
20001212X22227,NYC01FA005,412440N,0702500W,IFR ,Y,N60BT,TTN ,MVY 
20001212X22228,NYC01FA007,353506N,0832432W,NONE,N,N2067C,I23 ,ILN 
20001212X22283,FTW01FA020,314707N,0921005W,NONE,N,N6232E,2LA7,NONE
20001212X22298,LAX01FA049,325739N,1091332W,NONE,N,N7901R,SOW ,CFT 
20001212X22305,LAX01LA041,333130N,1170500W,NONE,N,N41AL,CNO ,
20001212X22309,LAX01LA045,311344N,1212227W,NONE,N,N540AK,3O1 ,RHV 
20001212X22313,MIA01FA028,272606N,0822700W,VFIF,Y,USAF,VAD ,VAD 
20001212X22314,MIA01FA029,254854N,0801748W,IFR ,Y,N14056,MIA ,MTPP
20001212X22336,SEA01FA017,433211N,1120347W,NONE,N,N41054,IDA ,
20001213X27446,LAX89LA068,383224N,1731424W,IFR ,,N146UA,NRT ,SFO 
20001215X45419,IAD01FA015,372000N,0791200W,NONE,N,N94U,LYH ,
20001215X45421,IAD01LA014,390345N,0780528W,NONE,N,N8181L,OKV ,3VA7
20001215X45429,NYC01LA050,392907N,0794107W,NONE,N,N97MS,WV29,WV29
20001218X45439,LAX01GA057,344336N,1181409W,NONE,N,N182ER,FAT ,WJF 
20001226X45488,IAD01LA020,395603N,0744826W,NONE,N,N789FW,N14 ,
20010104X00011,SEA01FA032,462147N,1151859W,CVFR,N,N9186F,,
20010104X00012,MIA01LA052,354929N,0813640W,NONE,N,N143F,NC27,MRN 
20010104X00014,DEN01LA035,400949N,1050947W,NONE,N,N9058G,2V2 ,
20010105X00029,DEN01FA033,350219N,1063614W,NONE,N,N2174L,TUL ,ABQ 
20010105X00031,FTW01FA043,292557N,0943235W,CVFR,Y,N407MM,NONE,GLS 
20010105X00048,NYC01LA059,402115N,0795530W,NONE,N,N89SM,AGC ,
20010105X00049,SEA01LA031,474306N,1221154W,NONE,N,N2502,PAE ,RNT 
20010108X00062,FTW01LA045,350841N,0962531W,VFR ,Y,N68472,SNL ,3F7 
20010108X00063,NYC01FA062,403755N,0734646W,IFR ,Y,N769NC,JFK ,DTW 
20010109X00068,MIA01LA056,300416N,0833456W,NONE,N,N40030,,
20010109X00069,NYC01FA058,445300N,0703820W,IFR ,Y,N30EM,PWM ,8B0 
20010109X00071,SEA01LA034,454900N,1191500W,IFR ,N,N69058,MMV ,HRI 
20010110X00073,DEN01FA028,424706N,1041302W,NONE,N,N4223F,CPR ,RAP 
20010110X00077,LAX01FA055,381620N,1223203W,IFR ,Y,N739HB,APC ,O69 
20010110X00078,LAX01FA059,384144N,1213527W,IFR ,N,N252SA,SAC ,SJC 
20010110X00079,MIA01FA041,260855N,0803806W,NONE,N,N260DB,HWO ,
20010110X00082,MIA01LA054,260909N,0814632W,IFR ,N,N45CF,KAPF,KLOU
20010110X00083,ANC01FA026,602147N,1523701W,VFR ,Y,N1419Z,5NN ,ENA 
20010110X00084,ANC01FAMS1,582130N,1343458W,VFR ,Y,N7100C,JNU ,JNU 
20010110X00095,FTW01LA046,300000N,1000000W,NONE,N,N45373,NONE,LBX 
20010110X00098,DEN01LA038,411801N,1114901W,NONE,N,N26HV,OGD ,NONE
20010111X00287,FTW01FA048,324529N,0980521W,CVFR,Y,N152AL,MWL ,
20010111X00289,NYC01LA063,372127N,0782616W,VFR ,Y,N73404,FVX ,CHO 
20010112X00292,IAD01FA021,380800N,0782700W,IFR ,Y,N323UE,IAD ,CHO 
20010112X00293,FTW01RA035,134025S,0641205W,VFR ,N,,SLTR,
20010116X00304,FTW01LA047,331251N,0964452W,NONE,N,N208BF,T31 ,
20010117X00314,IAD01LA024,431206N,0713008W,NONE,N,N54931,CON ,CON 
20010118X00326,SEA01LA037,434648N,1230210W,NONE,N,N9988L,61S ,
20010119X00327,FTW01LA050,304017N,0981540W,NONE,N,N1736M,BSM ,BMQ 
20010119X00328,ATL01FA021,315200N,0860100W,IFR ,Y,N1DC,DAL ,TOI 
20010120X00333,LAX01LA077,372250N,1203405W,NONE,N,N3854P,MER ,MER 
20010122X00334,CHI01FA064,392918N,0861929W,NONE,N,N46628,3I3 ,HFY 
20010122X00337,MIA01FA060,353811N,0772311W,VFIF,Y,N3996T,TMA ,PVG 
20010122X00338,MIA01LA062,303815N,0865937W,VFR ,N,N2407M,2R4 ,FXE 
20010123X00344,LAX01FA071,374328N,1221324W,NONE,N,N819AC,OAK ,OAK 
20010123X00345,LAX01LA076,333900N,1154200W,NONE,N,N39JP,UDD ,L77 
20010123X00347,LAX01LA069,374100N,1214922W,NONE,N,N6165M,LVK ,LVK 
20010124X00349,NYC01FA064,371702N,0811222W,IFR ,Y,N123RA,LWB ,BLF 
20010124X00350,NYC01LA067,421133N,0711033W,NONE,N,N1307J,OWD ,BID 
20010125X00357,LAX01LA079,391700N,1134200W,CVFR,N,N8353F,ELY ,
20010125X00359,FTW01LA052,324150N,0955221W,NONE,N,N6373S,MSA ,ALM 
20010126X00361,IAD01LA022,425108N,0735543W,IFR ,Y,N435JL,SCH ,LGA 
20010126X00362,DEN01LA039,401104N,1114212W,NONE,N,N108ES,U77 ,
20010126X00363,IAD01LA026,370151N,0790554W,NONE,N,N222GK,LKU ,W81 
20010126X00364,DEN01FA041,404100N,1122100W,VFR ,N,N616F,67L ,TVY 
20010126X00368,LAX01LA080,312227N,1094138W,NONE,N,N5487T,P03 ,P03 
20010130X00372,DEN01FA045,390335N,1043811W,NONE,N,N2898R,48V ,00V 
20010201X00379,IAD01LA028,371744N,0811227W,IFR ,Y,N99ED,LWB ,BLF 
20010202X00385,IAD01LA030,442658N,0682141W,NONE,N,N3070N,BHB ,
20010202X00390,DEN01FA044,394544N,1043445W,NONE,N,N602MC,FTG ,
20010202X00391,FTW01LA057,345504N,0911653W,IFR ,Y,N448DH,MEM ,LIT 
20010205X00394,FTW01LA056,303104N,0974650W,NONE,N,N704KF,40XS,40XS
20010206X00396,ATL01FA027,360748N,0863914W,IFR ,Y,N17AE,BNA ,VES 
20010206X00402,LAX01WA084,234842S,1194812E,VFR ,N,,,YNWN
20010206X00403,LAX01LA083,215800N,1592000W,CVFR,N,N985SA,LIH ,
20010206X00406,SEA01LA043,434452N,1110500W,NONE,N,N31330,U59 ,U59 
20010207X00413,MIA01GA070,245408N,0805605W,NONE,N,N99WD,OPF ,
20010207X00415,NYC01LA070,392026N,0800052W,NONE,N,N911N,BLM ,3I2 
20010208X00421,DCA01MA017,394448N,1041500W,IFR ,Y,N81PF,BJC ,SWO 
20010208X00422,NYC01LA074,380035N,0775812W,NONE,N,N9746L,W66 ,OFP 
20010209X00426,NYC01FA073,412316N,0703516W,IFR ,Y,N6837Y,PVD ,MVY 
20010209X00427,LAX01LA093,355517N,1191814W,NONE,N,N6260C,,
20010209X00429,LAX01LA086,322537N,1112322W,NONE,N,N1296,PVT ,E60 
20010209X00430,LAX01LA087,395021N,1194449W,NONE,N,N12079,4SD ,
20010209X00431,LAX01FAMS0,361237N,1224020W,NONE,N,N6452D,CCR ,
20010209X00432,MIA01FA071,321748N,0805612W,IFR ,Y,N88FJ,SAV ,N14 
20010212X00436,IAD01LA031,412227N,0840404W,NONE,N,N98PM,7W5 ,
20010212X00437,NYC01FA071,413608N,0742708W,NONE,N,N814CU,N82 ,N82 
20010212X00438,NYC01IA068,403818N,0734542W,IFR ,Y,N509JB,ONT ,JFK 
20010213X00439,MIA01FA074,284937N,0814855W,NONE,N,N123WA,OCF ,LEE 
20010213X00440,MIA01FA072,175947N,0663314W,VFR ,N,N181MM,PSE ,STT 
20010214X00443,MIA01LA076,261820N,0801300W,NONE,N,N2327S,FXE ,
20010214X00444,FTW01FA058,335506N,0963339W,NONE,N,N96621,ADS ,
20010214X00446,MIA01LA073,180100N,0670000W,NONE,N,N5915J,PSE ,
20010214X00450,LAX01LA094,324956N,1170822W,NONE,N,N8122G,MYF ,MYF 
20010214X00451,CHI01FA080,423507N,0995906W,IFR ,Y,N52BA,LNK ,VTN 
20010214X00453,CHI01FA085,433037N,0883810W,NONE,N,N5085P,MWC ,
20010215X00455,FTW01WA059,210619N,0393553E,VFR ,Y,N2104X,UNK ,
20010215X00456,FTW01FA065,353621N,1005739W,NONE,N,N1256R,ABQ ,PPA 
20010215X00457,CHI01FA083,454017N,0853547W,IFR ,Y,N318DH,MDW ,SJX 
20010216X00461,MIA01FA075,293705N,0823031W,NONE,N,N2166U,0J8 ,
20010220X00467,FTW01FA063,302230N,0922358W,NONE,N,N901NL,LFT ,LFT 
20010220X00468,FTW01IA061,285409N,0931658W,CVFR,Y,N142DP,NONE,NONE
20010221X00477,MIA01LA078,265512N,0815925W,IFR ,Y,N394JP,MIA ,PGD 
20010221X00478,MIA01LA081,334520N,0854830W,IFR ,Y,N8556S,AUO ,FRH 
20010221X00479,ANC01LA028,605200N,1621639W,CVFR,Y,N19771,BET ,4A2 
20010221X00480,ANC01LA029,611356N,1510434W,NONE,N,N2191J,PABV,
20010221X00481,ANC01TA032,595559N,1640150W,NONE,N,N737CU,PABE,PAKI
20010221X00482,ANC01FA033,535736N,1663717W,NONE,N,N19454,PADU,PANC
20010221X00483,ANC01LA034,622000N,1581300W,VFR ,Y,N4390F,FAI ,
20010221X00484,ANC01TA035,614445N,1471328W,NONE,N,N7183P,,
20010221X00485,ANC01LA036,622800N,1600700W,NONE,N,N3334M,KGX ,4Z4 
20010221X00486,ANC01LA037,643930N,1481900W,VFR ,Y,N36266,PAFA,
20010222X00490,MIA01FA077,271059N,0801243W,NONE,N,N979ND,KSUA,KSUA
20010222X00491,MIA01LA080,302930N,0872718W,VFR ,Y,N210FW,AHH ,JKA 
20010222X00494,WAS01RA001,493002N,0113700E,IFR ,Y,,EDDN,LIRA
20010222X00495,ANC01LA030,610458N,1505707W,CVFR,Y,N80KA,ENA ,
20010222X00497,LAX01LA097,381528N,1223619W,NONE,N,N8286P,STS ,O69 
20010222X00498,MIA01LA079,275920N,0820107W,NONE,N,N15635,LAL ,VRB 
20010222X00499,MIA01LA082,313709N,0805435W,NONE,N,N7703R,OMN ,MCZ 
20010223X00504,NYC01LA077,422206N,0710054W,IFR ,N,N1457B,BOS ,DCA 
20010223X00505,ANC01LA031,595757N,1625200W,CVFR,Y,N7340U,DUY ,BET 
20010227X00513,LAX01FA103,352802N,1205105W,NONE,N,N9176Z,Q89 ,SNA 
20010227X00514,MIA01LA086,260915N,0814653W,NONE,N,N942AC,APF ,
20010227X00515,LAX01LA100,371958N,1214911W,NONE,N,N53893,RHV ,RHV 
20010227X00516,LAX01LA099,385717N,1210456W,NONE,N,N18152,AUN ,AUN 
20010227X00520,LAX01LA102,324856N,1170822W,IFR ,Y,N4922D,SDL ,MYF 
20010228X00524,LAX01FA101,334301N,1181052W,NONE,N,N4686G,LGB ,LGB 
20010302X00535,FTW01FA069,353637N,1012321W,NONE,N,N4002M,E19 ,NONE
20010305X00538,MIA01WA087,102745N,0660439W,,N,,,
20010305X00539,MIA01LA088,353456N,0790604W,NONE,N,N3310K,W75 ,KTTA
20010306X00545,DEN01FA056,390722N,1095127W,NONE,N,N4637M,GUC ,FAT 
20010306X00552,LAX01TA092,323420N,1165849W,CVFR,Y,N606BP,SDM ,SDM 
20010307X00554,MIA01LA089,311130N,0891700W,VFR ,Y,N911PL,TPA ,BMT 
20010307X00556,SEA01LA055,461230N,1181630W,NONE,N,N48651,2WA9,
20010307X00558,LAX01LA105,362500N,1215000W,IFR ,Y,N288SW,LAX ,MRY 
20010308X00560,LAX01LA110,353828N,1175554W,NONE,N,N46KA,TOA ,MMH 
20010308X00561,LAX01IA109,332616N,1120057W,IFR ,Y,N335SW,LAX ,PHX 
20010308X00564,MIA01LA090,280610N,0803845W,NONE,N,N4949N,COI ,
20010308X00565,MIA01IA091,260422N,0800910W,VFR ,Y,N108GP,MYAT,KFLL
20010308X00567,MIA01LA094,261150N,0801014W,NONE,N,N3802Q,FXE ,
20010308X00568,MIA01LA092,331031N,0861833W,NONE,N,N8844V,MOB ,SCD 
20010312X00575,MIA01LA057,302937N,0814127W,NONE,N,N6807N,JAX ,
20010313X00576,NYC01WA079,555920N,0082410E,IFR ,Y,,EDDS,EKVJ
20010314X00581,MIA01LA095,340723N,0845055W,NONE,N,N651MA,VPC ,
20010315X00583,MIA01LA096,351613N,0823839W,NONE,N,N2172S,TUL ,
20010315X00584,MIA01LA097,284600N,0811400W,NONE,N,N5687H,,
20010315X00589,IAD01LA035,400128N,0822742W,NONE,N,N3738Y,DCA ,VTA 
20010315X00590,NYC01LA086,425254N,0721615W,NONE,N,N910SM,EEN ,EEN 
20010316X00593,NYC01LA087,404742N,0740600W,NONE,N,N9077F,ISP ,ISP 
20010316X00595,LAX01LA117,330000N,1160000W,NONE,N,N333PE,L18 ,A20 
20010316X00597,DEN01FA064,410847N,1140153W,NONE,N,N5757K,ENV ,05U 
20010319X00599,MIA01LA099,304709N,0893016W,NONE,N,N5076,M13 ,
20010319X00600,FTW01LA080,343406N,0982500W,NONE,Y,N210HS,ALI ,LAW 
20010319X00601,LAX01FA112,330652N,1164329W,NONE,N,N91445,SEE ,NJK 
20010319X00605,DEN01FA066,382806N,1055535W,NONE,N,N222ED,OK07,0V2 
20010319X00608,CHI01FA104,421245N,0832020W,IFR ,N,N357NW,DTW ,MIA 
20010321X00618,DEN01FA070,432311N,1103142W,NONE,N,N1080A,GCK ,JAC 
20010321X00622,SEA01FA060,473410N,1170532W,VFR ,Y,CGISV,RNT ,GEG 
20010321X00623,MIA01FA102,292800N,0811204W,NONE,N,N44589,DAB ,
20010321X00628,LAX01LA121,342830N,1192354W,NONE,N,N6123A,CMA ,
20010322X00632,LAX01LA120,365200N,1212200W,NONE,N,N637H,,
20010322X00633,LAX01IA118,320659N,1105627W,IFR ,Y,N996DL,TUS ,CVG 
20010327X00651,IAD01LA037,382200N,0823328W,NONE,N,N6584F,HTW ,12V 
20010327X00655,DEN01FA074,411915N,1120948W,NONE,N,N5JV,OGD ,
20010328X00657,MIA01LA104,305829N,0843825W,NONE,N,N6674Z,BGE ,
20010328X00658,MIA01LA101,271546N,0805059W,NONE,N,N666BH,STU ,OBE 
20010328X00660,DEN01FA075,393400N,1045034W,IFR ,Y,N300WC,APA ,SMO 
20010328X00663,LAX01LA128,350119N,1104321W,NONE,N,N5188G,EED ,INW 
20010329X00668,NYC01FA089,372858N,0874115W,NONE,N,N4752N,EVV ,
20010329X00669,IAD01IA034,422200N,0710000W,IFR ,Y,N375FE,BOS ,MEM 
20010330X00674,ANC01LA038,604638N,1484317W,VFR ,Y,N3032G,PAMR,CKU 
20010330X00675,ANC01LA039,641043N,1492615W,VFR ,Y,N42DC,Z90 ,FAI 
20010330X00676,DCA01WA018,474022N,0262139E,,N,N1127K,LROP,LRSV
20010330X00678,ANC01LA040,642530N,1465400W,NONE,N,N22N,,95Z 
20010330X00679,ANC01LA041,630846N,1563147W,NONE,N,N9383C,,PAMC
20010330X00680,ANC01LA042,602834N,1510157W,NONE,N,N1702C,PASX,
20010330X00681,NYC01LA088,425736N,0764936W,CVFR,Y,N2138Y,D38 ,NK71
20010402X00688,NYC01WA082,633100N,0203500W,IFR ,Y,N272BB,,EGPO
20010405X00695,ATL01LA043,350402N,0772456W,NONE,N,N78321,NKT ,
20010405X00697,ATL01LA044,293808N,0830617W,IFR ,Y,N7640P,SRQ ,JKA 
20010405X00703,MIA01FA108,255942N,0814035W,NONE,N,N900CE,VNC ,MKY 
20010405X00705,MIA01FA107,352501N,0804219W,IFR ,Y,N42Y,IPJ ,JQF 
20010405X00706,CHI01FA113,432403N,1011033W,NONE,N,N9927S,RAP ,OFK 
20010405X00708,LAX01LA124,323420N,1165848W,NONE,N,N733JG,SEE ,SDM 
20010405X00709,LAX01LA125,334903N,1180905W,NONE,N,N8492A,LGB ,LGB 
20010405X00711,LAX01LA122,325729N,1124041W,NONE,N,N4188E,E63 ,E63 
20010406X00713,FTW01LA093,303159N,0910859W,NONE,N,N914DA,CXO ,BTR 
20010407X00716,LAX01LA135,361242N,1151144W,VFR ,Y,N9572H,SDL ,VGT 
20010407X00717,LAX01LA137,334903N,1180905W,NONE,N,N669SP,LGB ,LGB 
20010407X00718,LAX01FA129,340118N,1183455W,NONE,N,N2838E,SMO ,SMO 
20010407X00719,LAX01FA127,215348N,1593611W,NONE,N,N293G,,PAK 
20010409X00720,MIA01LA109,285500N,0810500W,NONE,N,N3060D,SFB ,
20010410X00725,IAD01FA038,384249N,0773027W,NONE,N,N2380U,2W6 ,HEF 
20010410X00726,MIA01IA110,182622N,0660007W,NONE,N,N19BA,SJU ,
20010410X00728,DEN01FA082,382627N,1050636W,NONE,N,N49DE,1V6 ,
20010412X00739,MIA01LA113,334448N,0863740W,NONE,N,N49LK,TCL ,GAD 
20010412X00743,LAX01LA131,340634N,1170824W,NONE,N,N8158K,BNG ,L12 
20010413X00744,IAD01FA039,385909N,0775808W,NONE,N,N5841P,W66 ,OKV 
20010413X00745,IAD01LA042,424301N,0710724W,NONE,N,N2462T,LWM ,LWM 
20010413X00746,DEN01LA084,423330N,1065143W,NONE,N,N222LF,CPR ,NONE
20010416X00749,IAD01LA040,411419N,0765603W,NONE,N,N65630,RDG ,IPT 
20010416X00753,NYC01LA094,422151N,0710018W,IFR ,N,N3731T,BOS ,LGA 
20010416X00754,ANC01LA046,603625N,1643414W,CVFR,N,N1581U,IGT ,PAEW
20010416X00755,ANC01LA044,602800N,1494313W,NONE,N,N4028H,CDV ,HOM 
20010416X00759,LAX01LA138,323000N,1105500W,NONE,N,N21394,N/A ,
20010416X00760,ANC01LA045,613500N,1490503W,NONE,N,N4606Z,,WAS 
20010416X00763,FTW01FA095,354509N,0930613W,VFR ,Y,N1055D,K50 ,TUP 
20010417X00765,MIA01FA117,273859N,0802621W,NONE,N,N262MM,VRB ,44J 
20010417X00766,MIA01LA122,282154N,0821148W,NONE,N,N81189,PIE ,
20010417X00767,MIA01TA121,301217N,0854926W,NONE,N,N91335,FA34,
20010417X00768,FTW01FA098,290650N,0955709W,NONE,N,N5638T,JCT ,3R1 
20010417X00770,ANC01WA043,601100N,1325000W,VFR ,N,N5812F,YXJ ,H-1C
20010418X00772,MIA01LA116,351624N,0823816W,NONE,N,N2488D,JZI ,NC22
20010418X00774,MIA01FA119,321130N,0815224W,NONE,N,N340JB,CWV ,DAN 
20010418X00775,SEA01FA070,472314N,1171423W,NONE,N,N21565,SFF ,PUW 
20010419X00781,LAX01LA143,335232N,1175800W,NONE,N,N7MK,EMT ,WHP 
20010419X00782,MIA01LA123,345929N,0785248W,NONE,N,N252W,FAY ,
20010423X00794,MIA01LA024,284852N,0821859W,VFR ,Y,N54729,ORL ,X40 
